Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2022-06;National;NIMES;PARIS LYON;178;262;0;;126;13.03650794;6.219847328;;79;47.45126582;16.30368957;;63;55.97910053;35;21;29.11392405;16.4556962;27.84810127;11.392405063291102;10.12658228;5.063291139240509
2022-07;National;NIMES;PARIS LYON;178;327;2;;200;21.83816667;13.455298353909498;;165;39.60090909;21.5031893;;143;43.65617716;63;30;30.303030303030297;15.75757576;29.09090909;10.3030303;7.878787879;6.666666667
2022-08;National;NIMES;PARIS LYON;178;316;0;;185;17.64783784;9.909493671;;132;32.49621212;15.85237342;;103;37.9012945;52;7;31.06060606060609;17.42424242;27.27272727;9.848484848;5.303030303;9.090909091
2022-09;National;NIMES;PARIS LYON;177;252;2;;130;13.46461538;7.046169355;;55;44.14666667;9.68797043;;42;53.80753968;22;13;20.0;9.090909091;29.090909090909108;29.090909090909108;5.454545454545451;7.272727273
2022-10;National;NIMES;PARIS LYON;178;230;0;;103;12.0012945;5.420289855;;43;38.06511628;8.382608696;;36;42.92453704;17;8;16.27906977;23.255813953488403;30.23255814;13.95348837;13.95348837;2.325581395
2022-11;National;NIMES;PARIS LYON;176;219;0;;74;12.83085586;4.291019787;;37;35.9;7.250304414;;31;40.32526882;18;6;29.72972972972969;21.62162162;27.02702703;10.81081081;10.81081081;0.0
2022-12;National;NIMES;PARIS LYON;180;239;18;;97;11.21683849;4.964177979;;34;31.98137255;5.890723982;;29;35.16609195;13;3;11.76470588;17.64705882;29.41176471;20.58823529;14.70588235;5.882352941
2023-01;National;NIMES;PARIS LYON;181;240;7;;67;7.647263682;2.227038627;;33;29.84040404;5.762804006;;27;33.4537037;10;4;30.303030303030297;27.27272727;21.21212121;18.18181818;3.03030303;0.0
2023-02;National;NIMES;PARIS LYON;181;211;7;;56;12.61547619;3.427042483660129;;21;38.19920635;5.671813725;;17;43.9245098;12;5;19.04761905;19.04761905;19.04761905;33.33333333;0.0;9.523809524
2023-03;National;NIMES;PARIS LYON;182;243;26;;72;11.80972222;3.892242704;;43;46.8751938;10.27565284;;42;47.64087302;26;9;16.27906977;20.93023256;30.23255814;25.58139535;4.651162791;2.325581395
2023-04;National;NIMES;PARIS LYON;182;259;4;;125;12.12466667;6.027470356;;49;49.89727891;11.15915679;;45;53.16814815;22;13;56.25;27.08333333;8.33333333;6.25;0.0;2.08333333
2023-05;National;NIMES;PARIS LYON;182;267;3;;133;13.73132832;6.968623737;;43;47.73565892;10.21963384;;37;53.23558559;17;11;18.60465116;32.558139530000005;18.60465116;18.60465116;0.0;11.62790698
2023-06;National;NIMES;PARIS LYON;181;257;1;;149;11.84373602;6.951041667;;63;42.17751323;12.50527344;;63;42.17751323;35;10;31.74603175;20.63492063;19.04761905;7.936507939999999;3.17460317;17.46031746
2023-07;National;NIMES;PARIS LYON;181;251;0;;148;10.52477478;6.326680108;;57;43.72309942;10.81317204;;55;44.7530303;25;11;21.05263158;19.29824561;28.07017544;17.543859649999998;3.50877193;10.52631579
2023-08;National;NIMES;PARIS LYON;179;246;0;;148;8.819594595;5.373644986;;66;42.24116162;13.07852304;;56;47.38809524;31;12;7.57575758;18.18181818;33.333333329999995;30.3030303;6.06060606;4.54545455
2023-09;National;NIMES;PARIS LYON;178;240;0;;104;11.83253205;5.220711297;;57;34.39269006;8.729567643;;46;39.50144928;22;7;22.80701754;24.56140351;38.596491230000005;10.52631579;0.0;3.50877193
2023-10;National;NIMES;PARIS LYON;178;248;0;;115;12.16724638;5.690322581;;57;40.58918129;9.879637097;;45;47.73333333299999;17;9;8.771929819999999;21.05263158;38.596491230000005;14.03508772;8.771929819999999;8.771929819999999
2023-11;National;NIMES;PARIS LYON;178;239;1;;82;10.9648374;3.799789916;;42;27.3952381;5.768977591;;29;33.49310345;13;1;30.95238095;11.9047619;33.333333329999995;16.666666669999998;2.38095238;4.76190476
2023-12;National;NIMES;PARIS LYON;178;205;0;;60;12.48444444;3.638211382;;25;47.91;6.326178861799999;;21;54.21825397;10;8;44.0;20.0;12.0;12.0;0.0;12.0
2024-01;National;NIMES;PARIS LYON;179;183;1;;48;14.05381944;3.656776557;;40;29.43458333;8.038644689;;30;34.93055555600001;11;3;17.5;30.0;42.5;10.0;0.0;0.0
2024-02;National;NIMES;PARIS LYON;179;167;7;;42;9.76031746;2.545625;;31;28.558064516000005;7.116458333;;20;36.67916667;6;4;12.90322581;41.93548387;32.258064520000005;9.67741935;0.0;3.2258064500000003
2024-03;National;NIMES;PARIS LYON;179;194;0;;40;14.60458333;2.939690722;;40;28.05875;6.520360825;;26;36.14038462;8;4;12.5;15.0;42.5;17.5;0.0;12.5
2024-04;National;NIMES;PARIS LYON;179;221;0;;72;13.19282407;4.265158371;;35;57.79476191;10.66598793;;27;70.88209877;15;4;17.14285714;37.14285714;22.857142860000003;5.71428571;5.71428571;11.428571430000002
2024-05;National;NIMES;PARIS LYON;179;194;1;;61;10.435245902000002;3.200518135;;28;32.11428571;5.361139896;;18;42.47685185;11;2;14.28571429;39.28571429;14.28571429;10.71428571;7.14285714;14.28571429
2024-06;National;NIMES;PARIS LYON;180;227;0;;65;11.01923077;3.132892805;;34;31.91470588;5.49948605;;24;39.83888889;10;6;20.58823529;29.41176471;29.41176471;14.70588235;0.0;5.88235294
2024-07;National;NIMES;PARIS LYON;179;234;3;;85;20.86313726;7.676419214;;38;77.47938597;9.897671033500002;;38;77.47938597;22;11;42.10526316;26.31578947;13.15789474;7.894736839999999;5.26315789;5.26315789
2024-08;National;NIMES;PARIS LYON;179;235;1;;97;10.90463918;4.510658083;;36;38.74398148;5.262374821;;27;47.22839506;15;8;25.0;5.55555556;30.55555556;13.88888889;13.88888889;11.11111111
2024-09;National;NIMES;PARIS LYON;179;198;4;;83;15.9437751;6.816148531999999;;33;61.43585858600001;10.32107081;;28;70.02380952;22;10;30.3030303;12.12121212;30.3030303;12.12121212;3.03030303;12.12121212
2024-10;National;NIMES;PARIS LYON;179;217;0;;85;9.090196078;3.727674419;;44;43.94015152;9.52875969;;26;65.60320513;12;6;29.54545455;13.63636364;29.54545455;11.36363636;11.36363636;4.5454545500000005
2024-11;National;NIMES;PARIS LYON;189;195;0;;53;10.21100629;2.816839378;;36;46.59814815;6.224006909;;30;53.26166667;16;8;34.28571429;34.28571429;5.71428571;14.28571429;2.85714286;8.57142857
2024-12;National;NIMES;PARIS LYON;179;225;0;;57;6.036549708;1.557507508;;21;57.711904762;4.051276276;;13;84.40897436;7;5;33.333333329999995;38.0952381;14.28571429;14.28571429;0.0;0.0
2025-01;National;NIMES;PARIS LYON;179;223;0;;45;23.868888889;4.7795964126;;33;48.811616162;7.402765321400001;;23;64.507971014;10;6;27.27272727;33.333333329999995;27.27272727;12.12121212;0.0;0.0
2025-02;National;NIMES;PARIS LYON;179;194;0;;59;8.6748587571;2.6765112263;;33;40.178282828;7.6091537133;;27;46.040123457;13;8;18.18181818;27.27272727;30.3030303;21.21212121;0.0;3.03030303
2025-03;National;NIMES;PARIS LYON;180;219;0;;78;12.278632479;4.4175076453;;44;42.26969697;9.3069571865;;30;55.89;18;10;22.72727273;27.27272727;31.818181820000003;13.636363639999999;2.27272727;2.27272727
